location,analytical,central,upstream
0.00,1.00000,1.00045,0.99990
0.05,0.99998,1.02437,0.99000
0.10,0.99888,1.07929,0.95515
0.16,0.97867,0.99304,0.87681
0.21,0.84361,0.73506,0.74790
0.26,0.49925,0.43587,0.58228
0.31,0.15636,0.21109,0.40938
0.36,0.02195,0.08532,0.25869
0.42,0.00127,0.02933,0.14678
0.47,0.00003,0.00871,0.07490
0.52,0.00000,0.00226,0.03445
0.57,0.00000,0.00052,0.01433
0.62,0.00000,0.00011,0.00541
0.68,0.00000,0.00002,0.00186
0.73,0.00000,0.00000,0.00058
0.78,0.00000,0.00000,0.00017
0.83,0.00000,0.00000,0.00004
0.89,0.00000,0.00000,0.00001
0.94,0.00000,0.00000,0.00000
0.99,0.00000,0.00000,0.00000
1.04,0.00000,0.00000,0.00000
1.09,0.00000,0.00000,0.00000
1.15,0.00000,0.00000,0.00000
1.20,0.00000,0.00000,0.00000
1.25,0.00000,0.00000,0.00000
