location,analytical,central,upstream
0.00,1.00000,1.00005,1.00000
0.05,1.00000,1.00294,0.99965
0.10,1.00000,0.99449,0.99814
0.16,1.00000,0.98211,0.99351
0.21,0.99999,0.99976,0.98216
0.26,0.99982,1.04781,0.95895
0.31,0.99781,1.07185,0.91824
0.36,0.98361,1.01245,0.85580
0.42,0.92247,0.85807,0.77082
0.47,0.76120,0.64782,0.66700
0.52,0.49973,0.43715,0.55202
0.57,0.23858,0.26557,0.43567
0.62,0.07773,0.14642,0.32734
0.68,0.01659,0.07383,0.23399
0.73,0.00227,0.03429,0.15914
0.78,0.00019,0.01476,0.10303
0.83,0.00001,0.00592,0.06357
0.89,0.00000,0.00222,0.03741
0.94,0.00000,0.00079,0.02103
0.99,0.00000,0.00026,0.01131
1.04,0.00000,0.00008,0.00583
1.09,0.00000,0.00002,0.00288
1.15,0.00000,0.00001,0.00137
1.20,0.00000,0.00000,0.00062
1.25,0.00000,0.00000,0.00027
